SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500136,ESTER INDUS.,B ,Q,32.6,33.55,32,33.3,33.15,32.4,38,3440,112796,
500139,FEDDERELEC  ,Z ,Q,5.63,5.63,5.63,5.63,5.63,5.92,7,2747,15465,
500141,FERRO ALLOYS,X ,Q,5.01,5.01,4.66,4.78,4.73,5,101,31271,149227,
500144,FINOL. CABLE,A ,Q,419,424,408.25,416.05,415,422.25,267,3961,1646030,
500147,CMI FPE     ,X ,Q,1121.3,1156,1100,1113.35,1120,1175.05,63,616,689561,
500148,UFLEX LTD   ,A ,Q,220.6,224.75,219.2,223.6,224.75,222.7,238,5644,1257759,
500151,GOLDEN TOB  ,B ,Q,37,39,37,39,39,37.65,3,76,2888,
500153,GANESH BENZO,X ,Q,42.55,43.5,42,43.35,43.5,42.35,69,9828,421749,
500155,GARDEN SILK ,B ,Q,16.25,18.9,16.25,17.05,17.5,16.75,32,2642,44146,
500159,METROGLOBL  ,X ,Q,47.7,54.95,47.7,54,54.95,50.3,23,1174,63339,
500160,GTL LTD.    ,B ,Q,4.35,4.41,4.16,4.25,4.25,4.35,29,22821,96584,
500163,GODFREY PH  ,A ,Q,1050.1,1072.35,1045,1060.05,1057.4,1064.95,227,6604,7005093,
500164,GODREJ IND  ,A ,Q,505.5,508.2,500.25,502.6,506.75,506.5,181,5785,2921364,
500165,KANSAI NERO ,A ,Q,429.95,435,417.9,425.4,425.4,426.9,595,8724,3702033,
500166,GOODRICKE   ,X ,Q,205,209,201.1,203.1,202.5,205.4,107,4162,847992,
500168,GOODYEAR (I),B ,Q,925,930,920.15,929.55,930,925.65,80,4974,4613838,
500170,GTN INDUS   ,B ,Q,9.4,10.72,9.4,10.72,10.72,9.38,4,102,961,
500171,GHCL LTD    ,A ,Q,246.95,246.95,242.5,243.1,243.1,249.2,259,6505,1591013,
500173,GUJ.FLOURO  ,A ,Q,1035,1045.9,1015,1028.9,1035,1046,214,1955,2005124,
500179,HCL INFOSYS ,B ,Q,16,16.05,15.65,15.7,15.65,16.25,146,33933,535767,
500180,HDFC BANK   ,A ,Q,2358,2358,2320.4,2328.4,2328.4,2368.8,4750,106202,248238767,
500182,HEROMOTOCO  ,A ,Q,2562,2562.8,2520,2527.35,2527.35,2567,2204,22763,57814999,
500183,HIMACHAL FUT,A ,Q,22.2,22.55,22.05,22.4,22.5,22.55,221,124214,2779996,
500184,HSCL        ,A ,Q,108,111.85,107.8,108.55,109.35,109.25,299,13512,1478532,
500185,HIND.CONSTN.,A ,Q,13.15,13.49,13.05,13.28,13.28,13.29,397,142388,1897489,
500186,HIND.OIL EXP,B ,Q,122.5,123.8,121.55,121.9,121.95,122.95,643,33706,4128030,
500187,HSIL        ,B ,Q,252,261.75,250.25,257.6,258.8,257.45,260,5775,1492930,
500188,HINDUS.ZI   ,A ,Q,270,274.3,269.2,272.7,272.7,274.1,380,18192,4946304,
500189,HINDUJA VENT,B ,Q,385,385.85,377,384.2,382.05,385.45,60,782,297807,
500191,HMT LTD.    ,Z ,Q,17.25,18,17.25,18,18,17.8,7,615,11030,
500192,PRAG BOSIMI ,XT,Q,3,3,3,3,3,3,3,1300,3900,
500193,HOTEL LEELA.,B ,Q,10,10.11,9.68,9.75,9.88,10.1,82,14464,142996,
500199,I.G.PETRO   ,B ,Q,288.95,288.95,273.05,275.5,275,284.55,16,285,78941,
500201,IND.GLYCOLS ,B ,Q,250,250,244.85,245.45,245.05,252,208,4059,1002840,
500202,IND.LEAS.DEV,XT,Q,8.4,8.45,7.68,8.45,8.4,8.08,9,2053,16726,
500207,INDO RAMA   ,B ,Q,34.8,35.5,34.8,35.5,35.5,35.4,9,7072,250356,
500209,INFOSYS LTD ,A ,Q,718.5,721.95,711.1,717.85,717.85,723.75,10268,1029470,740439974,
500210,INGERSOLL   ,B ,Q,614.9,614.9,607,612,613.1,613.05,45,633,385861,
500211,INSILCO LTD.,X ,Q,17,17.8,16.8,17.25,17.25,17.05,17,4488,75755,
500213,INTER.TRAVEL,X ,Q,131,131,122,122.5,122,125.2,35,1035,128481,
500214,ION EXCHANGE,XT,Q,390.1,398.9,389,389.55,390,393,28,2412,948047,
500215,AGRO TECH FO,B ,Q,580,580,552.2,553.25,552.2,568,58,644,360407,
500219,JAIN IRRIG  ,A ,Q,52,53,51.25,51.55,51.55,52.3,746,785038,40763616,
500220,JASCH INDUST,X ,Q,53.9,53.9,53.05,53.05,53.05,52.75,8,906,48550,
500223,JCT LTD     ,X ,Q,1.51,1.55,1.41,1.54,1.55,1.47,55,34554,51986,
500227,JINDAL POLYF,B ,Q,254.5,262.3,254.5,258.6,258.6,257.5,60,662,171452,
500228,JSWSL       ,A ,Q,304.8,304.8,295.55,297.25,297.3,308.6,5435,815742,242892490,
500231,UMANG DAIR  ,B ,Q,53.05,53.95,53.05,53.95,53.95,54,2,52,2791,
500233,KAJARIA CER.,A ,Q,603.8,604.75,573,576.15,573,603.8,515,19405,11258777,
500234,KAKATIYA CEM,B ,Q,162.2,168.25,162.2,167.9,168,168,29,1648,276126,
500235,KALYANI STEL,B ,Q,193,194,190,193.4,192.8,195.2,153,2819,541612,
500238,WHIRLPOOL   ,A ,Q,1385,1395,1359,1366.2,1380.95,1389.7,448,3475,4775799,
500239,KG DENIM    ,X ,Q,46.75,47.95,45.55,47.1,47.7,46.45,26,2455,115629,
500240,KINETIC ENG.,X ,Q,34.25,34.25,33.3,34.05,34.2,33.2,12,3385,114504,
500241,KIRL.BROS.  ,B ,Q,166.15,168.4,163,163.1,163,166.15,22,523,86367,
500243,KIRL INDUS  ,B ,Q,789.95,795,789.95,791.65,795,773.45,9,513,405274,
500245,KIRL.FERROUS,B ,Q,92.4,93.5,92,92.85,92.7,92.1,161,35926,3337583,
500247,KOTAK MAH.BK,A ,Q,1401.5,1416,1400,1411.95,1405.55,1418.15,3228,128628,181670690,
500249,KSB         ,B ,Q,658,659.95,654,657.05,654.1,659.2,35,291,191217,
500250,L.G.BALKRISH,B ,Q,362,362.6,349,360.1,360,362.05,83,3370,1198348,
500251,TRENT LTD.  ,A ,Q,378,394,370.8,375.4,374.5,384.05,983,20502,7887653,
500252,LAXMIMACH   ,A ,Q,5700,5707,5624.2,5675.65,5675.65,5698.5,68,123,698460,
